"";"zupanija_id";"rbr";"naziv_jls";"ukupni_prihodi_i_primici";"visak_prihoda_i_primitaka_preneseni";"manjak_prihoda_i_primitaka_preneseni";"ukupni_proracun_za_godinu";"porez_na_dobitke_od_igara_na_srecu";"pomoci_iz_inozemstva_i_od_subjekata_unutar_opce_drzave";"prihodi_od_imovine";"prihodi_od_administrativnih_pristojbi_i_po_posebnim_propisima";"ostali_prihodi";"primici_od_financijske_imovine_i_zaduzivanja";"decentralizacija";"zajednicki_kapit_proj_otoci";"ukupni_proracun_umanjen_za_decentralizaciju_vlastite_i_namjenske_prihode_te_primitke_od_zaduzivanja";"godina";"vrsta_jedinice";"zupanija";"oznaka_grop";"maticni_broj"
"80";3;15;"MAJUR";4174784;1470959;0;5645743;0;3269866;35011;296601;0;0;0;0;2044265;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"05550"
"81";3;16;"MARTINSKA VES";6993884;2495145;0;9489029;0;2266594;1100313;609339;114956;0;0;0;5397827;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"02593"
"82";3;17;"SUNJA";10136893;0;1251522;8885371;0;4109977;373627;2299302;216708;6e+05;0;0;1285757;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"04260"
"83";3;18;"TOPUSKO";8651764;0;685249;7966515;0;3099899;406786;2390764;0;0;0;0;2069066;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"04570"
"84";3;19;"VELIKA LUDINA";8078516;0;19057;8059459;0;2580080;1492580;1230234;0;837701;0;0;1918864;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"04774"
"85";4;1;"DUGA RESA";21770729;0;1083960;20686769;0;521541;612911;3730182;394454;11795;0;0;15415886;2016;"grop";"KARLOVAÈKA";"GRAD";"00990"
"86";4;2;"KARLOVAC";240677617;10990784;0;251668401;0;42660504;7158160;43515295;85921;3991940;17087014,46;0;137169566,54;2016;"grop";"KARLOVAÈKA";"GRAD";"01791"
"87";4;3;"OGULIN";34219904;1349979;0;35569883;0;2062769;4483574;4169982;0;0;3033764;0;21819794;2016;"grop";"KARLOVAÈKA";"GRAD";"02976"
"88";4;4;"OZALJ";27463254;0;1034889;26428365;0;5424458;492344;2093453;240625;0;0;0;18177485;2016;"grop";"KARLOVAÈKA";"GRAD";"03158"
"89";4;5;"SLUNJ";15483844;4045650;0;19529494;0;6961990;680705;1048396;268135;0;0;0;10570268;2016;"grop";"KARLOVAÈKA";"GRAD";"04006"
"90";4;6;"BARILOVIÆ";9429324;160723;0;9590047;0;4550312;146978;1298194;0;6000;0;0;3588563;2016;"grop";"KARLOVAÈKA";"OPÆINA";"00078"
"91";4;7;"BOSILJEVO";9324435;157878;0;9482313;0;910188;588799;6415770;0;0;0;0;1567556;2016;"grop";"KARLOVAÈKA";"OPÆINA";"00302"
"92";4;8;"CETINGRAD";5208883;159994;0;5368877;0;3108132;40096;980231;10900;0;0;0;1229518;2016;"grop";"KARLOVAÈKA";"OPÆINA";"00493"
"93";4;9;"DRAGANIÆ";4493577;760193;0;5253770;0;241619;298282;1231038;0;0;0;0;3482831;2016;"grop";"KARLOVAÈKA";"OPÆINA";"00906"
"94";4;10;"GENERALSKI STOL";5075573;0;224599;4850974;0;1355516;211237;698837;366557;0;0;0;2218827;2016;"grop";"KARLOVAÈKA";"OPÆINA";"01201"
"95";4;11;"JOSIPDOL";10043230;0;174401;9868829;0;3870350;148192;2093409;0;0;0;0;3756878;2016;"grop";"KARLOVAÈKA";"OPÆINA";"01724"
"96";4;12;"KAMANJE";4033957;0;30051;4003906;0;2173022;92991;248105;2534;0;0;0;1487254;2016;"grop";"KARLOVAÈKA";"OPÆINA";"06238"
"97";4;13;"KRNJAK";4584887;263630;0;4848517;0;3055400;92819;378609;353991;1866;0;0;965832;2016;"grop";"KARLOVAÈKA";"OPÆINA";"02160"
"98";4;14;"LASINJA";4889674;275503;0;5165177;0;1935579;738391;454910;0;0;0;0;2036297;2016;"grop";"KARLOVAÈKA";"OPÆINA";"02259"
"99";4;15;"NETRETIÆ";4900060;455117;0;5355177;0;1157875;246056;1004481;0;0;0;0;2946765;2016;"grop";"KARLOVAÈKA";"OPÆINA";"02810"
"100";4;16;"PLAŠKI";4340090;0;81014;4259076;0;2976086;49168;432475;0;0;0;0;801347;2016;"grop";"KARLOVAÈKA";"OPÆINA";"03336"
"101";4;17;"RAKOVICA";11240200;3649538;0;14889738;0;4031977;293504;2398650;240408;0;0;0;7925199;2016;"grop";"KARLOVAÈKA";"OPÆINA";"03654"
"102";4;18;"RIBNIK";1716000;693115;0;2409115;0;1027415;53697;215733;0;574;0;0;1111696;2016;"grop";"KARLOVAÈKA";"OPÆINA";"05568"
"103";4;19;"SABORSKO";4698048;0;432411;4265637;0;1966370;1436413;731361;113556;0;0;0;17937;2016;"grop";"KARLOVAÈKA";"OPÆINA";"03786"
"104";4;20;"TOUNJ";3619472;0;439017;3180455;0;1828225;229216;982609;1557;0;0;0;138848;2016;"grop";"KARLOVAÈKA";"OPÆINA";"05576"
"105";4;21;"VOJNIÆ";9605533;0;39223;9566310;0;6475262;229265;1151519;177096;0;0;0;1533168;2016;"grop";"KARLOVAÈKA";"OPÆINA";"05037"
"106";4;22;"ŽAKANJE";4062267;506479;0;4568746;0;975559;104991;566971;411101;0;0;0;2510124;2016;"grop";"KARLOVAÈKA";"OPÆINA";"05304"
"107";5;1;"IVANEC";26689283;0;6845;26682438;0;2395158;2404876;4842550;119806;570814;0;0;16349234;2016;"grop";"VARAŽDINSKA";"GRAD";"01562"
"108";5;2;"LEPOGLAVA";11912749;0;965517;10947232;0;2241325;230064;1713795;68938;0;0;0;6693110;2016;"grop";"VARAŽDINSKA";"GRAD";"02291"
"109";5;3;"LUDBREG";57589098;0;4947337;52641761;0;32867040;1238176;5000197;10198;1064117;0;0;12462033;2016;"grop";"VARAŽDINSKA";"GRAD";"02445"
"110";5;4;"NOVI MAROF";18852250;0;2185611;16666639;0;1095830;488715;2947054;111056;0;0;0;12023984;2016;"grop";"VARAŽDINSKA";"GRAD";"02895"
"111";5;5;"VARAŽDIN";229853753;0;22713503;207140250;0;7791070;30553523;45880363;996497;1058518;13760905;0;107099374;2016;"grop";"VARAŽDINSKA";"GRAD";"04723"
"112";5;6;"VARAŽDINSKE TOPLICE";13013737;0;208467;12805270;0;1343892;380900;1537721;93301;0;0;0;9449456;2016;"grop";"VARAŽDINSKA";"GRAD";"04731"
"113";1;7;"BEDENICA";2893139;92097;0;2985236;0;1035644;13331;299647;0;0;0;0;1636614;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"05509"
"114";5;8;"BEDNJA";6463777;0;2807312;3656465;0;2335942;120028;819691;0;2550;0;0;378254;2016;"grop";"VARAŽDINSKA";"OPÆINA";"00124"
"115";5;9;"BERETINEC";3779573;0;300553;3479020;0;320493;186310;517061;7984;15000;0;0;2432172;2016;"grop";"VARAŽDINSKA";"OPÆINA";"00191"
"116";5;10;"BREZNICA";5981201;2451970;0;8433171;0;2419141;228474;585589;0;0;0;0;5199967;2016;"grop";"VARAŽDINSKA";"OPÆINA";"00361"
"117";5;11;"BREZNIÈKI HUM";2357483;0;489115;1868368;0;44411;83630;593116;23657;388695;0;0;734859;2016;"grop";"VARAŽDINSKA";"OPÆINA";"01511"
"118";5;12;"CESTICA";14850098;0;4359688;10490410;0;6493021;1199789;1914467;0;5e+05;0;0;383133;2016;"grop";"VARAŽDINSKA";"OPÆINA";"00485"
"119";5;13;"DONJA VOÆA";4065056;0;935535;3129521;0;2438933;61403;386849;0;0;0;0;242336;2016;"grop";"VARAŽDINSKA";"OPÆINA";"00809"
"120";5;14;"GORNJI KNEGINEC";16927554;2430247;0;19357801;0;2730098;425631;3143309;1414509;553600;0;0;11090654;2016;"grop";"VARAŽDINSKA";"OPÆINA";"01295"
"121";5;15;"JALŽABET";18372045;0;325730;18046315;0;5842794;338996;1559133;310623;7e+06;0;0;2994769;2016;"grop";"VARAŽDINSKA";"OPÆINA";"01651"
"122";5;16;"KLENOVNIK";2737189;402608;0;3139797;0;617305;14171;320397;5468;6007;0;0;2176449;2016;"grop";"VARAŽDINSKA";"OPÆINA";"01899"
"123";5;17;"LJUBEŠÆICA";6488463;926361;0;7414824;0;2325284;370613;1359792;0;3e+05;0;0;3059135;2016;"grop";"VARAŽDINSKA";"OPÆINA";"02470"
"124";5;18;"MALI BUKOVEC";3519651;470961;0;3990612;0;1376061;369168;308364;29670;0;0;0;1907349;2016;"grop";"VARAŽDINSKA";"OPÆINA";"02518"
"125";5;19;"MARTIJANEC";5620016;1969091;0;7589107;0;1507967;440086;644442;12397;50000;0;0;4934215;2016;"grop";"VARAŽDINSKA";"OPÆINA";"00850"
"126";5;20;"MARUŠEVEC";6890146;1274016;0;8164162;0;725937;214051;1004040;0;0;0;0;6220134;2016;"grop";"VARAŽDINSKA";"OPÆINA";"02607"
"127";5;21;"PETRIJANEC";7059474;0;757332;6302142;0;765187;1793289;732342;8152;386996;0;0;2616176;2016;"grop";"VARAŽDINSKA";"OPÆINA";"03263"
"128";5;22;"SRAÈINEC";6855947;894870;0;7750817;0;38950;1219080;958104;0;0;0;0;5534683;2016;"grop";"VARAŽDINSKA";"OPÆINA";"04103"
"129";5;23;"SVETI ÐURÐ";5753502;46203;0;5799705;0;1593588;1194623;515038;0;0;0;0;2496456;2016;"grop";"VARAŽDINSKA";"OPÆINA";"04375"
"130";5;24;"SVETI ILIJA";6761826;0;263076;6498750;0;1200445;156173;858131;22324;694244;0;0;3567433;2016;"grop";"VARAŽDINSKA";"OPÆINA";"04383"
"131";5;25;"TRNOVEC BARTOLOVEÈKI";11051860;529664;0;11581524;0;185117;1919402;1895814;40000;0;0;0;7541191;2016;"grop";"VARAŽDINSKA";"OPÆINA";"04626"
"132";5;26;"VELIKI BUKOVEC";1755609;486175;0;2241784;0;42263;674972;178093;0;0;0;0;1346456;2016;"grop";"VARAŽDINSKA";"OPÆINA";"05584"
"133";5;27;"VIDOVEC";7478348;0;2042103;5436245;0;1088119;196834;696682;0;142358;0;0;3312252;2016;"grop";"VARAŽDINSKA";"OPÆINA";"04847"
"134";5;28;"VINICA";5848538;211975;0;6060513;0;1378533;388017;893073;94731;0;0;0;3306159;2016;"grop";"VARAŽDINSKA";"OPÆINA";"04863"
"135";5;29;"VISOKO";2038980;524235;0;2563215;0;772282;38914;302291;0;0;0;0;1449728;2016;"grop";"VARAŽDINSKA";"OPÆINA";"04936"
"136";6;1;"ÐURÐEVAC";48227465;0;1983273;46244192;0;5350565;4506904;9360949;446235;12054387;0;0;14525152;2016;"grop";"KOPRIVNIÈKO-KRIŽEVAÈKA";"GRAD";"01074"
"137";6;2;"KOPRIVNICA";127455258;0;14107581;113347677;0;6814938;4494774;34538934;71619;9159745;11133931,0035;0;47133735,9965;2016;"grop";"KOPRIVNIÈKO-KRIŽEVAÈKA";"GRAD";"02011"
